#DEG_AC	#Gene_Name	#Gene_Ref	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG20100455	MTHFD1	EMBL: ENSG00000100714	-	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:7432]	Homo sapiens I	14	Rich medium
DEG20100456	TELO2	EMBL: ENSG00000100726	-	-	TEL2, telomere maintenance 2, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29099]	Homo sapiens I	16	Rich medium
DEG20100457	PSMC1	EMBL: ENSG00000100764	-	-	proteasome (prosome, macropain) 26S subunit, ATPase, 1 [Source:HGNC Symbol;Acc:9547]	Homo sapiens I	14	Rich medium
DEG20100458	YY1	EMBL: ENSG00000100811	-	-	YY1 transcription factor [Source:HGNC Symbol;Acc:12856]	Homo sapiens I	14	Rich medium
DEG20100459	TRIP11	EMBL: ENSG00000100815	-	-	thyroid hormone receptor interactor 11 [Source:HGNC Symbol;Acc:12305]	Homo sapiens I	14	Rich medium
DEG20100460	APEX1	EMBL: ENSG00000100823	-	-	APEX nuclease (multifunctional DNA repair enzyme) 1 [Source:HGNC Symbol;Acc:587]	Homo sapiens I	14	Rich medium
DEG20100461	ARHGAP5	EMBL: ENSG00000100852	-	-	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:675]	Homo sapiens I	14	Rich medium
DEG20100462	CHD8	EMBL: ENSG00000100888	-	-	chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:20153]	Homo sapiens I	14	Rich medium
DEG20100463	NFKBIA	EMBL: ENSG00000100906	-	-	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Source:HGNC Symbol;Acc:7797]	Homo sapiens I	14	Rich medium
DEG20100464	REC8	EMBL: ENSG00000100918	-	-	REC8 homolog (yeast) [Source:HGNC Symbol;Acc:16879]	Homo sapiens I	14	Rich medium
DEG20100465	PNN	EMBL: ENSG00000100941	-	-	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:9162]	Homo sapiens I	14	Rich medium
DEG20100466	GSS	EMBL: ENSG00000100983	-	-	glutathione synthetase [Source:HGNC Symbol;Acc:4624]	Homo sapiens I	20	Rich medium
DEG20100467	PROCR	EMBL: ENSG00000101000	-	-	protein C receptor, endothelial [Source:HGNC Symbol;Acc:9452]	Homo sapiens I	20	Rich medium
DEG20100468	GINS1	EMBL: ENSG00000101003	-	-	GINS complex subunit 1 (Psf1 homolog) [Source:HGNC Symbol;Acc:28980]	Homo sapiens I	20	Rich medium
DEG20100469	IFT52	EMBL: ENSG00000101052	-	-	intraflagellar transport 52 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:15901]	Homo sapiens I	20	Rich medium
DEG20100470	MYBL2	EMBL: ENSG00000101057	-	-	v-myb myeloblastosis viral oncogene homolog (avian)-like 2 [Source:HGNC Symbol;Acc:7548]	Homo sapiens I	20	Rich medium
DEG20100471	HNF4A	EMBL: ENSG00000101076	-	-	hepatocyte nuclear factor 4, alpha [Source:HGNC Symbol;Acc:5024]	Homo sapiens I	20	Rich medium
DEG20100472	NDRG3	EMBL: ENSG00000101079	-	-	NDRG family member 3 [Source:HGNC Symbol;Acc:14462]	Homo sapiens I	20	Rich medium
DEG20100473	SALL4	EMBL: ENSG00000101115	-	-	sal-like 4 (Drosophila) [Source:HGNC Symbol;Acc:15924]	Homo sapiens I	20	Rich medium
DEG20100474	ADNP	EMBL: ENSG00000101126	-	-	activity-dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:15766]	Homo sapiens I	20	Rich medium
DEG20100475	BMP7	EMBL: ENSG00000101144	-	-	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:1074]	Homo sapiens I	20	Rich medium
DEG20100476	RAE1	EMBL: ENSG00000101146	-	-	RAE1 RNA export 1 homolog (S. pombe) [Source:HGNC Symbol;Acc:9828]	Homo sapiens I	20	Rich medium
DEG20100477	AVP	EMBL: ENSG00000101200	-	-	arginine vasopressin [Source:HGNC Symbol;Acc:894]	Homo sapiens I	20	Rich medium
DEG20100478	CHRNA4	EMBL: ENSG00000101204	-	-	cholinergic receptor, nicotinic, alpha 4 (neuronal) [Source:HGNC Symbol;Acc:1958]	Homo sapiens I	20	Rich medium
DEG20100479	ARFRP1	EMBL: ENSG00000101246	-	-	ADP-ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:662]	Homo sapiens I	20	Rich medium
DEG20100480	CSNK2A1	EMBL: ENSG00000101266	-	-	casein kinase 2, alpha 1 polypeptide [Source:HGNC Symbol;Acc:2457]	Homo sapiens I	20	Rich medium
DEG20100481	CDS2	EMBL: ENSG00000101290	-	-	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2 [Source:HGNC Symbol;Acc:1801]	Homo sapiens I	20	Rich medium
DEG20100482	PROKR2	EMBL: ENSG00000101292	-	-	prokineticin receptor 2 [Source:HGNC Symbol;Acc:15836]	Homo sapiens I	20	Rich medium
DEG20100483	FERMT1	EMBL: ENSG00000101311	-	-	fermitin family member 1 [Source:HGNC Symbol;Acc:15889]	Homo sapiens I	20	Rich medium
DEG20100484	PLCB4	EMBL: ENSG00000101333	-	-	phospholipase C, beta 4 [Source:HGNC Symbol;Acc:9059]	Homo sapiens I	20	Rich medium
DEG20100485	POFUT1	EMBL: ENSG00000101346	-	-	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:14988]	Homo sapiens I	20	Rich medium
DEG20100486	KIF3B	EMBL: ENSG00000101350	-	-	kinesin family member 3B [Source:HGNC Symbol;Acc:6320]	Homo sapiens I	20	Rich medium
DEG20100487	JAG1	EMBL: ENSG00000101384	-	-	jagged 1 [Source:HGNC Symbol;Acc:6188]	Homo sapiens I	20	Rich medium
DEG20100488	CHMP4B	EMBL: ENSG00000101421	-	-	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:16171]	Homo sapiens I	20	Rich medium
DEG20100489	SLC32A1	EMBL: ENSG00000101438	-	-	solute carrier family 32 (GABA vesicular transporter), member 1 [Source:HGNC Symbol;Acc:11018]	Homo sapiens I	20	Rich medium
DEG20100490	ASIP	EMBL: ENSG00000101440	-	-	agouti signaling protein [Source:HGNC Symbol;Acc:745]	Homo sapiens I	20	Rich medium
DEG20100491	CELF4	EMBL: ENSG00000101489	-	-	CUGBP, Elav-like family member 4 [Source:HGNC Symbol;Acc:14015]	Homo sapiens I	18	Rich medium
DEG20100492	SMCHD1	EMBL: ENSG00000101596	-	-	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:29090]	Homo sapiens I	18	Rich medium
DEG20100493	SMAD7	EMBL: ENSG00000101665	-	-	SMAD family member 7 [Source:HGNC Symbol;Acc:6773]	Homo sapiens I	18	Rich medium
DEG20100494	LAMA1	EMBL: ENSG00000101680	-	-	laminin, alpha 1 [Source:HGNC Symbol;Acc:6481]	Homo sapiens I	18	Rich medium
DEG20100495	MIB1	EMBL: ENSG00000101752	-	-	mindbomb E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:21086]	Homo sapiens I	18	Rich medium
DEG20100496	RBBP8	EMBL: ENSG00000101773	-	-	retinoblastoma binding protein 8 [Source:HGNC Symbol;Acc:9891]	Homo sapiens I	18	Rich medium
DEG20100497	ALG13	EMBL: ENSG00000101901	-	-	ALG13, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:30881]	Homo sapiens I	X	Rich medium
DEG20100498	F9	EMBL: ENSG00000101981	-	-	coagulation factor IX [Source:HGNC Symbol;Acc:3551]	Homo sapiens I	X	Rich medium
DEG20100499	GATA1	EMBL: ENSG00000102145	-	-	GATA binding protein 1 (globin transcription factor 1) [Source:HGNC Symbol;Acc:4170]	Homo sapiens I	X	Rich medium
DEG20100500	NALCN	EMBL: ENSG00000102452	-	-	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:19082]	Homo sapiens I	13	Rich medium
DEG20100501	KLF5	EMBL: ENSG00000102554	-	-	Kruppel-like factor 5 (intestinal) [Source:HGNC Symbol;Acc:6349]	Homo sapiens I	13	Rich medium
DEG20100502	FGF9	EMBL: ENSG00000102678	-	-	fibroblast growth factor 9 (glia-activating factor) [Source:HGNC Symbol;Acc:3687]	Homo sapiens I	13	Rich medium
DEG20100503	SUPT20H	EMBL: ENSG00000102710	-	-	suppressor of Ty 20 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20596]	Homo sapiens I	13	Rich medium
DEG20100504	FLT1	EMBL: ENSG00000102755	-	-	fms-related tyrosine kinase 1 [Source:HGNC Symbol;Acc:3763]	Homo sapiens I	13	Rich medium
DEG20100505	INTS6	EMBL: ENSG00000102786	-	-	integrator complex subunit 6 [Source:HGNC Symbol;Acc:14879]	Homo sapiens I	13	Rich medium
DEG20100506	MGRN1	EMBL: ENSG00000102858	-	-	mahogunin ring finger 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:20254]	Homo sapiens I	16	Rich medium
DEG20100507	NFAT5	EMBL: ENSG00000102908	-	-	nuclear factor of activated T-cells 5, tonicity-responsive [Source:HGNC Symbol;Acc:7774]	Homo sapiens I	16	Rich medium
DEG20100508	ZNF423	EMBL: ENSG00000102935	-	-	zinc finger protein 423 [Source:HGNC Symbol;Acc:16762]	Homo sapiens I	16	Rich medium
DEG20100509	CTCF	EMBL: ENSG00000102974	-	-	CCCTC-binding factor (zinc finger protein) [Source:HGNC Symbol;Acc:13723]	Homo sapiens I	16	Rich medium
DEG20100510	PSMD7	EMBL: ENSG00000103035	-	-	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 [Source:HGNC Symbol;Acc:9565]	Homo sapiens I	16	Rich medium
DEG20100511	VAC14	EMBL: ENSG00000103043	-	-	Vac14 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25507]	Homo sapiens I	16	Rich medium
DEG20100512	SMPD3	EMBL: ENSG00000103056	-	-	sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II) [Source:HGNC Symbol;Acc:14240]	Homo sapiens I	16	Rich medium
DEG20100513	AXIN1	EMBL: ENSG00000103126	-	-	axin 1 [Source:HGNC Symbol;Acc:903]	Homo sapiens I	16	Rich medium
DEG20100514	NPRL3	EMBL: ENSG00000103148	-	-	nitrogen permease regulator-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:14124]	Homo sapiens I	16	Rich medium
DEG20100515	TSC2	EMBL: ENSG00000103197	-	-	tuberous sclerosis 2 [Source:HGNC Symbol;Acc:12363]	Homo sapiens I	16	Rich medium
DEG20100516	LMF1	EMBL: ENSG00000103227	-	-	lipase maturation factor 1 [Source:HGNC Symbol;Acc:14154]	Homo sapiens I	16	Rich medium
DEG20100517	FOXF1	EMBL: ENSG00000103241	-	-	forkhead box F1 [Source:HGNC Symbol;Acc:3809]	Homo sapiens I	16	Rich medium
DEG20100518	NARFL	EMBL: ENSG00000103245	-	-	nuclear prelamin A recognition factor-like [Source:HGNC Symbol;Acc:14179]	Homo sapiens I	16	Rich medium
DEG20100519	CLCN7	EMBL: ENSG00000103249	-	-	chloride channel, voltage-sensitive 7 [Source:HGNC Symbol;Acc:2025]	Homo sapiens I	16	Rich medium
DEG20100520	STUB1	EMBL: ENSG00000103266	-	-	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:11427]	Homo sapiens I	16	Rich medium
DEG20100521	UBE2I	EMBL: ENSG00000103275	-	-	ubiquitin-conjugating enzyme E2I [Source:HGNC Symbol;Acc:12485]	Homo sapiens I	16	Rich medium
DEG20100522	MEFV	EMBL: ENSG00000103313	-	-	Mediterranean fever [Source:HGNC Symbol;Acc:6998]	Homo sapiens I	16	Rich medium
DEG20100523	DNAJA3	EMBL: ENSG00000103423	-	-	DnaJ (Hsp40) homolog, subfamily A, member 3 [Source:HGNC Symbol;Acc:11808]	Homo sapiens I	16	Rich medium
DEG20100524	SALL1	EMBL: ENSG00000103449	-	-	sal-like 1 (Drosophila) [Source:HGNC Symbol;Acc:10524]	Homo sapiens I	16	Rich medium
DEG20100525	RBL2	EMBL: ENSG00000103479	-	-	retinoblastoma-like 2 (p130) [Source:HGNC Symbol;Acc:9894]	Homo sapiens I	16	Rich medium
DEG20100526	RPGRIP1L	EMBL: ENSG00000103494	-	-	RPGRIP1-like [Source:HGNC Symbol;Acc:29168]	Homo sapiens I	16	Rich medium
DEG20100527	STX4	EMBL: ENSG00000103496	-	-	syntaxin 4 [Source:HGNC Symbol;Acc:11439]	Homo sapiens I	16	Rich medium
DEG20100528	BCKDK	EMBL: ENSG00000103507	-	-	branched chain ketoacid dehydrogenase kinase [Source:HGNC Symbol;Acc:16902]	Homo sapiens I	16	Rich medium
DEG20100529	KAT8	EMBL: ENSG00000103510	-	-	K(lysine) acetyltransferase 8 [Source:HGNC Symbol;Acc:17933]	Homo sapiens I	16	Rich medium
DEG20100530	CSK	EMBL: ENSG00000103653	-	-	c-src tyrosine kinase [Source:HGNC Symbol;Acc:2444]	Homo sapiens I	15	Rich medium
DEG20100531	FAH	EMBL: ENSG00000103876	-	-	fumarylacetoacetate hydrolase (fumarylacetoacetase) [Source:HGNC Symbol;Acc:3579]	Homo sapiens I	15	Rich medium
DEG20100532	OCA2	EMBL: ENSG00000104044	-	-	oculocutaneous albinism II [Source:HGNC Symbol;Acc:8101]	Homo sapiens I	15	Rich medium
DEG20100533	GABPB1	EMBL: ENSG00000104064	-	-	GA binding protein transcription factor, beta subunit 1 [Source:HGNC Symbol;Acc:4074]	Homo sapiens I	15	Rich medium
DEG20100534	DNAJC17	EMBL: ENSG00000104129	-	-	DnaJ (Hsp40) homolog, subfamily C, member 17 [Source:HGNC Symbol;Acc:25556]	Homo sapiens I	15	Rich medium
DEG20100535	SLC30A4	EMBL: ENSG00000104154	-	-	solute carrier family 30 (zinc transporter), member 4 [Source:HGNC Symbol;Acc:11015]	Homo sapiens I	15	Rich medium
DEG20100536	FZD3	EMBL: ENSG00000104290	-	-	frizzled family receptor 3 [Source:HGNC Symbol;Acc:4041]	Homo sapiens I	8	Rich medium
DEG20100537	EYA1	EMBL: ENSG00000104313	-	-	eyes absent homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:3519]	Homo sapiens I	8	Rich medium
DEG20100538	NBN	EMBL: ENSG00000104320	-	-	nibrin [Source:HGNC Symbol;Acc:7652]	Homo sapiens I	8	Rich medium
DEG20100539	IMPAD1	EMBL: ENSG00000104331	-	-	inositol monophosphatase domain containing 1 [Source:HGNC Symbol;Acc:26019]	Homo sapiens I	8	Rich medium
DEG20100540	IKBKB	EMBL: ENSG00000104365	-	-	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Source:HGNC Symbol;Acc:5960]	Homo sapiens I	8	Rich medium
DEG20100541	JPH1	EMBL: ENSG00000104369	-	-	junctophilin 1 [Source:HGNC Symbol;Acc:14201]	Homo sapiens I	8	Rich medium
DEG20100542	TRPS1	EMBL: ENSG00000104447	-	-	trichorhinophalangeal syndrome I [Source:HGNC Symbol;Acc:12340]	Homo sapiens I	8	Rich medium
DEG20100543	UBR5	EMBL: ENSG00000104517	-	-	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:16806]	Homo sapiens I	8	Rich medium
DEG20100544	TSTA3	EMBL: ENSG00000104522	-	-	tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:12390]	Homo sapiens I	8	Rich medium
DEG20100545	ERI1	EMBL: ENSG00000104626	-	-	exoribonuclease 1 [Source:HGNC Symbol;Acc:23994]	Homo sapiens I	8	Rich medium
DEG20100546	MCM4	EMBL: ENSG00000104738	-	-	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:6947]	Homo sapiens I	8	Rich medium
DEG20100547	ASAH1	EMBL: ENSG00000104763	-	-	N-acylsphingosine amidohydrolase (acid ceramidase) 1 [Source:HGNC Symbol;Acc:735]	Homo sapiens I	8	Rich medium
DEG20100548	GYS1	EMBL: ENSG00000104812	-	-	glycogen synthase 1 (muscle) [Source:HGNC Symbol;Acc:4706]	Homo sapiens I	19	Rich medium
DEG20100549	RELB	EMBL: ENSG00000104856	-	-	v-rel reticuloendotheliosis viral oncogene homolog B [Source:HGNC Symbol;Acc:9956]	Homo sapiens I	19	Rich medium
DEG20100550	PPP1R13L	EMBL: ENSG00000104881	-	-	protein phosphatase 1, regulatory subunit 13 like [Source:HGNC Symbol;Acc:18838]	Homo sapiens I	19	Rich medium
DEG20100551	ERCC2	EMBL: ENSG00000104884	-	-	excision repair cross-complementing rodent repair deficiency, complementation group 2 [Source:HGNC Symbol;Acc:3434]	Homo sapiens I	19	Rich medium
DEG20100552	DOT1L	EMBL: ENSG00000104885	-	-	DOT1-like, histone H3 methyltransferase (S. cerevisiae) [Source:HGNC Symbol;Acc:24948]	Homo sapiens I	19	Rich medium
DEG20100553	SLC17A7	EMBL: ENSG00000104888	-	-	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7 [Source:HGNC Symbol;Acc:16704]	Homo sapiens I	19	Rich medium
DEG20100554	NOVA2	EMBL: ENSG00000104967	-	-	neuro-oncological ventral antigen 2 [Source:HGNC Symbol;Acc:7887]	Homo sapiens I	19	Rich medium
DEG20100555	FBL	EMBL: ENSG00000105202	-	-	fibrillarin [Source:HGNC Symbol;Acc:3599]	Homo sapiens I	19	Rich medium
DEG20100556	GPI	EMBL: ENSG00000105220	-	-	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:4458]	Homo sapiens I	19	Rich medium
DEG20100557	PIAS4	EMBL: ENSG00000105229	-	-	protein inhibitor of activated STAT, 4 [Source:HGNC Symbol;Acc:17002]	Homo sapiens I	19	Rich medium
DEG20100558	FZR1	EMBL: ENSG00000105325	-	-	fizzy/cell division cycle 20 related 1 (Drosophila) [Source:HGNC Symbol;Acc:24824]	Homo sapiens I	19	Rich medium
DEG20100559	TGFB1	EMBL: ENSG00000105329	-	-	transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:11766]	Homo sapiens I	19	Rich medium
DEG20100560	RPS19	EMBL: ENSG00000105372	-	-	ribosomal protein S19 [Source:HGNC Symbol;Acc:10402]	Homo sapiens I	19	Rich medium
DEG20100561	NAPA	EMBL: ENSG00000105402	-	-	N-ethylmaleimide-sensitive factor attachment protein, alpha [Source:HGNC Symbol;Acc:7641]	Homo sapiens I	19	Rich medium
DEG20100562	ATP1A3	EMBL: ENSG00000105409	-	-	ATPase, Na+/K+ transporting, alpha 3 polypeptide [Source:HGNC Symbol;Acc:801]	Homo sapiens I	19	Rich medium
DEG20100563	PTPRS	EMBL: ENSG00000105426	-	-	protein tyrosine phosphatase, receptor type, S [Source:HGNC Symbol;Acc:9681]	Homo sapiens I	19	Rich medium
DEG20100564	LIG1	EMBL: ENSG00000105486	-	-	ligase I, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6598]	Homo sapiens I	19	Rich medium
DEG20100565	RASIP1	EMBL: ENSG00000105538	-	-	Ras interacting protein 1 [Source:HGNC Symbol;Acc:24716]	Homo sapiens I	19	Rich medium
DEG20100566	BCAT2	EMBL: ENSG00000105552	-	-	branched chain amino-acid transaminase 2, mitochondrial [Source:HGNC Symbol;Acc:977]	Homo sapiens I	19	Rich medium
DEG20100567	PPP2R1A	EMBL: ENSG00000105568	-	-	protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:9302]	Homo sapiens I	19	Rich medium
DEG20100568	KLF1	EMBL: ENSG00000105610	-	-	Kruppel-like factor 1 (erythroid) [Source:HGNC Symbol;Acc:6345]	Homo sapiens I	19	Rich medium
DEG20100569	DNASE2	EMBL: ENSG00000105612	-	-	deoxyribonuclease II, lysosomal [Source:HGNC Symbol;Acc:2960]	Homo sapiens I	19	Rich medium
DEG20100570	PRPF31	EMBL: ENSG00000105618	-	-	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:15446]	Homo sapiens I	19	Rich medium
DEG20100571	ELL	EMBL: ENSG00000105656	-	-	elongation factor RNA polymerase II [Source:HGNC Symbol;Acc:23114]	Homo sapiens I	19	Rich medium
DEG20100572	WBP7	EMBL: ENSG00000105663	-	-	Histone-lysine N-methyltransferase MLL4  [Source:UniProtKB/Swiss-Prot;Acc:Q9UMN6]	Homo sapiens I	19	Rich medium
DEG20100573	ETV2	EMBL: ENSG00000105672	-	-	ets variant 2 [Source:HGNC Symbol;Acc:3491]	Homo sapiens I	19	Rich medium
DEG20100574	USF2	EMBL: ENSG00000105698	-	-	upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:12594]	Homo sapiens I	19	Rich medium
DEG20100575	LSR	EMBL: ENSG00000105699	-	-	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:29572]	Homo sapiens I	19	Rich medium
DEG20100576	FKBP8	EMBL: ENSG00000105701	-	-	FK506 binding protein 8, 38kDa [Source:HGNC Symbol;Acc:3724]	Homo sapiens I	19	Rich medium
DEG20100577	SCN1B	EMBL: ENSG00000105711	-	-	sodium channel, voltage-gated, type I, beta subunit [Source:HGNC Symbol;Acc:10586]	Homo sapiens I	19	Rich medium
DEG20100578	ERF	EMBL: ENSG00000105722	-	-	Ets2 repressor factor [Source:HGNC Symbol;Acc:3444]	Homo sapiens I	19	Rich medium
DEG20100579	PMPCB	EMBL: ENSG00000105819	-	-	peptidase (mitochondrial processing) beta [Source:HGNC Symbol;Acc:9119]	Homo sapiens I	7	Rich medium
DEG20100580	NAMPT	EMBL: ENSG00000105835	-	-	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:30092]	Homo sapiens I	7	Rich medium
DEG20100581	ITGB8	EMBL: ENSG00000105855	-	-	integrin, beta 8 [Source:HGNC Symbol;Acc:6163]	Homo sapiens I	7	Rich medium
DEG20100582	SP4	EMBL: ENSG00000105866	-	-	Sp4 transcription factor [Source:HGNC Symbol;Acc:11209]	Homo sapiens I	7	Rich medium
DEG20100583	DLX5	EMBL: ENSG00000105880	-	-	distal-less homeobox 5 [Source:HGNC Symbol;Acc:2918]	Homo sapiens I	7	Rich medium
DEG20100584	MET	EMBL: ENSG00000105976	-	-	met proto-oncogene (hepatocyte growth factor receptor) [Source:HGNC Symbol;Acc:7029]	Homo sapiens I	7	Rich medium
DEG20100585	WNT2	EMBL: ENSG00000105989	-	-	wingless-type MMTV integration site family member 2 [Source:HGNC Symbol;Acc:12780]	Homo sapiens I	7	Rich medium
DEG20100586	HOXA1	EMBL: ENSG00000105991	-	-	homeobox A1 [Source:HGNC Symbol;Acc:5099]	Homo sapiens I	7	Rich medium
DEG20100587	DNAJB6	EMBL: ENSG00000105993	-	-	DnaJ (Hsp40) homolog, subfamily B, member 6 [Source:HGNC Symbol;Acc:14888]	Homo sapiens I	7	Rich medium
DEG20100588	HOXA2	EMBL: ENSG00000105996	-	-	homeobox A2 [Source:HGNC Symbol;Acc:5103]	Homo sapiens I	7	Rich medium
DEG20100589	HOXA3	EMBL: ENSG00000105997	-	-	homeobox A3 [Source:HGNC Symbol;Acc:5104]	Homo sapiens I	7	Rich medium
DEG20100590	LFNG	EMBL: ENSG00000106003	-	-	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:6560]	Homo sapiens I	7	Rich medium
DEG20100591	HOXA5	EMBL: ENSG00000106004	-	-	homeobox A5 [Source:HGNC Symbol;Acc:5106]	Homo sapiens I	7	Rich medium
DEG20100592	HOXA13	EMBL: ENSG00000106031	-	-	homeobox A13 [Source:HGNC Symbol;Acc:5102]	Homo sapiens I	7	Rich medium
DEG20100593	EVX1	EMBL: ENSG00000106038	-	-	even-skipped homeobox 1 [Source:HGNC Symbol;Acc:3506]	Homo sapiens I	7	Rich medium
DEG20100594	TAX1BP1	EMBL: ENSG00000106052	-	-	Tax1 (human T-cell leukemia virus type I) binding protein 1 [Source:HGNC Symbol;Acc:11575]	Homo sapiens I	7	Rich medium
DEG20100595	CPVL	EMBL: ENSG00000106066	-	-	carboxypeptidase, vitellogenic-like [Source:HGNC Symbol;Acc:14399]	Homo sapiens I	7	Rich medium
DEG20100596	GRB10	EMBL: ENSG00000106070	-	-	growth factor receptor-bound protein 10 [Source:HGNC Symbol;Acc:4564]	Homo sapiens I	7	Rich medium
DEG20100597	STX1A	EMBL: ENSG00000106089	-	-	syntaxin 1A (brain) [Source:HGNC Symbol;Acc:11433]	Homo sapiens I	7	Rich medium
DEG20100598	GARS	EMBL: ENSG00000106105	-	-	glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:4162]	Homo sapiens I	7	Rich medium
DEG20100599	TAF6	EMBL: ENSG00000106290	-	-	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa [Source:HGNC Symbol;Acc:11540]	Homo sapiens I	7	Rich medium
DEG20100600	WASL	EMBL: ENSG00000106299	-	-	Wiskott-Aldrich syndrome-like [Source:HGNC Symbol;Acc:12735]	Homo sapiens I	7	Rich medium
DEG20100601	AIMP2	EMBL: ENSG00000106305	-	-	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:20609]	Homo sapiens I	7	Rich medium
DEG20100602	MOSPD3	EMBL: ENSG00000106330	-	-	motile sperm domain containing 3 [Source:HGNC Symbol;Acc:25078]	Homo sapiens I	7	Rich medium
DEG20100603	C1GALT1	EMBL: ENSG00000106392	-	-	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 [Source:HGNC Symbol;Acc:24337]	Homo sapiens I	7	Rich medium
DEG20100604	PLOD3	EMBL: ENSG00000106397	-	-	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:9083]	Homo sapiens I	7	Rich medium
DEG20100605	NRF1	EMBL: ENSG00000106459	-	-	nuclear respiratory factor 1 [Source:HGNC Symbol;Acc:7996]	Homo sapiens I	7	Rich medium
DEG20100606	EZH2	EMBL: ENSG00000106462	-	-	enhancer of zeste homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:3527]	Homo sapiens I	7	Rich medium
DEG20100607	MEST	EMBL: ENSG00000106484	-	-	mesoderm specific transcript [Source:HGNC Symbol;Acc:7028]	Homo sapiens I	7	Rich medium
DEG20100608	MEOX2	EMBL: ENSG00000106511	-	-	mesenchyme homeobox 2 [Source:HGNC Symbol;Acc:7014]	Homo sapiens I	7	Rich medium
DEG20100609	AHR	EMBL: ENSG00000106546	-	-	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:348]	Homo sapiens I	7	Rich medium
DEG20100610	CHCHD3	EMBL: ENSG00000106554	-	-	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:21906]	Homo sapiens I	7	Rich medium
DEG20100611	GLI3	EMBL: ENSG00000106571	-	-	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:4319]	Homo sapiens I	7	Rich medium
DEG20100612	RHEB	EMBL: ENSG00000106615	-	-	Ras homolog enriched in brain [Source:HGNC Symbol;Acc:10011]	Homo sapiens I	7	Rich medium
DEG20100613	AEBP1	EMBL: ENSG00000106624	-	-	AE binding protein 1 [Source:HGNC Symbol;Acc:303]	Homo sapiens I	7	Rich medium
DEG20100614	MYL7	EMBL: ENSG00000106631	-	-	myosin, light chain 7, regulatory [Source:HGNC Symbol;Acc:21719]	Homo sapiens I	7	Rich medium
DEG20100615	GCK	EMBL: ENSG00000106633	-	-	glucokinase (hexokinase 4) [Source:HGNC Symbol;Acc:4195]	Homo sapiens I	7	Rich medium
