UniProtKB	DIP	Entry.name	Protein.names	Gene.names	Length	Gene.names.ORF	Gene.names.ordered.locus	Gene.names.synonym	Gene.names.primary	Cross.ref.RefSeq	Cross.ref.EnsembleFungi	Cross.ref.GeneID	Cross.ref.CYGD	Cross.ref.SGD	Probe.Set.IDs
P00724	DIP-5542N	INV2_YEAST	Invertase 2 (EC 3.2.1.26) (Beta-fructofuranosidase 2) (Saccharase)	SUC2 YIL162W	532	---	YIL162W	---	SUC2	NP_012104.1;	YIL162W;	854644;	YIL162w;	S000001424;	4043_s_at
P40988	DIP-5543N	FET4_YEAST	Low-affinity Fe(2+) transport protein (Low-affinity Fe(II) transport protein)	FET4 YMR319C YM9924.11C	552	YM9924.11C	YMR319C	---	FET4	NP_014052.1;	YMR319C;	855369;	YMR319c;	S000004938;	9284_at
P53296	DIP-5544N	ATF2_YEAST	Alcohol O-acetyltransferase 2 (AATase 2) (EC 2.3.1.84)	ATF2 YGR177C G7135	535	G7135	YGR177C	---	ATF2	NP_011693.1;	YGR177C;	853088;	YGR177c;	S000003409;	4832_at
P38828	DIP-5545N	LSM12_YEAST	Protein LSM12 (Sm-like protein 12)	LSM12 YHR121W	187	---	YHR121W	---	LSM12	NP_011989.1;	YHR121W;	856521;	YHR121w;	S000001163;	4414_at
P47058	DIP-5546N	TAD2_YEAST	tRNA-specific adenosine deaminase subunit TAD2 (EC 3.5.4.33) (tRNA-specific adenosine-34 deaminase subunit TAD2)	TAD2 YJL035C J1246	250	J1246	YJL035C	---	TAD2	NP_012499.1;	YJL035C;	853417;	YJL035c;	S000003572;	11077_at
P53299	DIP-5547N	TIM13_YEAST	Mitochondrial import inner membrane translocase subunit TIM13	TIM13 YGR181W G7157	105	G7157	YGR181W	---	TIM13	NP_011697.3;	YGR181W;	853093;	YGR181w;	S000003413;	4836_at
P36421	DIP-5548N	SYYC_YEAST	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	TYS1 MGM104 YGR185C G7522	394	G7522	YGR185C	MGM104	TYS1	NP_011701.3;	YGR185C;	853097;	---	S000003417;	4840_at
P06775	DIP-5549N	HIP1_YEAST	Histidine permease	HIP1 YGR191W G7572	603	G7572	YGR191W	---	HIP1	NP_011707.1;	YGR191W;	853104;	YGR191w;	S000003423;	4801_at
P16451	DIP-5550N	ODPX_YEAST	Pyruvate dehydrogenase complex protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (Pyruvate dehydrogenase complex component E3BP)	PDX1 YGR193C G7579	410	G7579	YGR193C	---	PDX1	NP_011709.1;	YGR193C;	853107;	YGR193c;	S000003425;	4803_at
P42934	DIP-5551N	PMT6_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 6 (EC 2.4.1.109)	PMT6 YGR199W G7722	759	G7722	YGR199W	---	PMT6	NP_011715.1;	YGR199W;	853113;	YGR199w;	S000003431;	4809_at
P22803	DIP-5552N	TRX2_YEAST	Thioredoxin-2 (Thioredoxin II) (TR-II) (Thioredoxin-1)	TRX2 TRX1 YGR209C G7746	104	G7746	YGR209C	TRX1	TRX2	NP_011725.3;	YGR209C;	853123;	---	S000003441;	4774_at
P32905	DIP-5553N	RSSA1_YEAST	40S ribosomal protein S0-A (Nucleic acid-binding protein NAB1A)	RPS0A NAB1 NAB1A YST1 YGR214W	252	---	YGR214W	NAB1 NAB1A YST1	RPS0A	NP_011730.1;	YGR214W;	853128;	---	S000003446;	4779_f_at;4780_at
P32340	DIP-5554N	NDI1_YEAST	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial (EC 1.6.5.9) (Internal NADH dehydrogenase) (NADH:ubiquinone reductase (non-electrogenic))	NDI1 YML120C YM7056.06C	513	YM7056.06C	YML120C	---	NDI1	NP_013586.1;	YML120C;	854919;	YML120c;	S000004589;	9765_at
Q02786	DIP-5555N	LCL1_YEAST	Long chronological lifespan protein 1	LCL1 YPL056C	101	---	YPL056C	---	LCL1	NP_015269.1;	YPL056C;	856051;	YPL056c;	S000005977;	7833_at
P50079	DIP-5556N	HSV2_YEAST	SVP1-like protein 2	HSV2 YGR223C G8530	448	G8530	YGR223C	---	HSV2	NP_011739.1;	YGR223C;	853138;	YGR223c;	S000003455;	4789_at
Q08912	DIP-5557N	YO389_YEAST	Uncharacterized protein YOR389W	YOR389W	624	---	YOR389W	---	---	NP_015034.3;	YOR389W;	854571;	YOR389w;	S000005916;	8143_at;8144_g_at
P53314	DIP-5558N	CPD1_YEAST	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CPDase) (EC 3.1.4.37)	CPD1 YGR247W	239	---	YGR247W	---	CPD1	NP_011763.1;	YGR247W;	853162;	YGR247w;	S000003479;	4767_at
P53316	DIP-5559N	YG5B_YEAST	Uncharacterized RNA-binding protein YGR250C	YGR250C	781	---	YGR250C	---	---	NP_011766.3;	YGR250C;	853165;	YGR250c;	S000003482;	4770_at
Q12225	DIP-5560N	YO225_YEAST	Putative uncharacterized protein YOR225W	YOR225W O5015 O5073 YOR50-15	109	O5015 O5073 YOR50-15	YOR225W	---	---	---	YOR225W;	---	---	S000005751;	8337_at
P00924	DIP-5561N	ENO1_YEAST	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	ENO1 ENOA HSP48 YGR254W G9160	437	G9160	YGR254W	ENOA HSP48	ENO1	NP_011770.3;	YGR254W;	853169;	---	S000003486;	4729_i_at;4730_s_at
P53732	DIP-5562N	RT12_YEAST	37S ribosomal protein S12, mitochondrial	MRPS12 YNR036C N3298	153	N3298	YNR036C	---	MRPS12	NP_014434.1;	YNR036C;	855772;	YNR036c;	S000005319;	8839_at
P53327	DIP-5563N	SLH1_YEAST	Antiviral helicase SLH1 (EC 3.6.4.13) (SKI2-like helicase 1)	SLH1 YGR271W G9365	1967	G9365	YGR271W	---	SLH1	NP_011787.4;	YGR271W;	853187;	YGR271w;	S000003503;	4747_at
P53331	DIP-5564N	REXO1_YEAST	RNA exonuclease 1 (EC 3.1.-.-) (RNase H(70))	RNH70 REX1 YGR276C G9381	553	G9381	YGR276C	REX1	RNH70	NP_011792.1;	YGR276C;	853193;	YGR276c;	S000003508;	4706_at
P53336	DIP-5565N	YG5X_YEAST	Putative methyltransferase YGR283C (EC 2.1.1.-)	YGR283C	341	---	YGR283C	---	---	NP_011799.3;	YGR283C;	853200;	YGR283c;	S000003515;	4713_at
P27614	DIP-5566N	CBPS_YEAST	Carboxypeptidase S (EC 3.4.17.4) (GLY-X carboxypeptidase) (YSCS)	CPS1 CPS YJL172W J0510	576	J0510	YJL172W	CPS	CPS1	NP_012363.1;	YJL172W;	853267;	YJL172w;	S000003708;	11211_at
P53048	DIP-5567N	MAL11_YEAST	General alpha-glucoside permease (Maltose permease MAL11) (Maltose transport protein MAL11)	MAL11 AGT1 MAL1T MTP1 YGR289C	616	---	YGR289C	AGT1 MAL1T MTP1	MAL11	NP_011805.3;	YGR289C;	853207;	YGR289c;	S000003521;	4719_at
P38754	DIP-5568N	RL14B_YEAST	60S ribosomal protein L14-B	RPL14B YHL001W	138	---	YHL001W	---	RPL14B	NP_011862.1;	YHL001W;	856388;	YHL001w;	S000000993;	4515_i_at;4516_f_at
Q07830	DIP-5569N	GPI13_YEAST	GPI ethanolamine phosphate transferase 3 (EC 2.-.-.-) (Glycosylphosphatidylinositol-anchor biosynthesis protein 13)	GPI13 MPC1 YLL031C	1017	---	YLL031C	MPC1	GPI13	NP_013069.1;	YLL031C;	850628;	YLL031c;	S000003954;	10355_at
P43617	DIP-5570N	YFL5_YEAST	Uncharacterized mitochondrial carrier YFR045W	YFR045W	309	---	YFR045W	---	---	NP_116703.5;	YFR045W;	850606;	YFR045w;	S000001941;	5299_at
Q99188	DIP-5571N	RGS2_YEAST	Regulator of G-protein signaling 2	RGS2 YOR107W YOR3224w	309	YOR3224w	YOR107W	---	RGS2	NP_014750.3;	YOR107W;	854274;	YOR107w;	S000005633;	8444_at
P38734	DIP-5572N	MUP3_YEAST	Low-affinity methionine permease	MUP3 YHL036W	546	---	YHL036W	---	MUP3	NP_011827.1;	YHL036W;	856349;	YHL036w;	S000001028;	4572_at
Q12480	DIP-5574N	ETFA_YEAST	Probable electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF) (Altered inheritance rate of mitochondria protein 45)	AIM45 YPR004C LPZ4C YP9723.04C	344	LPZ4C YP9723.04C	YPR004C	---	AIM45	NP_015329.1;	YPR004C;	856112;	YPR004c;	S000006208;	7756_at
P38705	DIP-5573N	SYSM_YEAST	Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (Digs into agar protein 4) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	DIA4 YHR011W	446	---	YHR011W	---	DIA4	NP_011875.1;	YHR011W;	856402;	YHR011w;	S000001053;	4530_at
P53141	DIP-5576N	MLC1_YEAST	Myosin light chain 1 (Calmodulin-like myosin light chain MLC1) (Myosin-2 light chain)	MLC1 YGL106W G3080	149	G3080	YGL106W	---	MLC1	NP_011409.1;	YGL106W;	852772;	YGL106w;	S000003074;	5136_at
P38707	DIP-5575N	SYNC_YEAST	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	DED81 YHR019C	554	---	YHR019C	---	DED81	NP_011883.1;	YHR019C;	856412;	YHR019c;	S000001061;	4538_at
Q99260	DIP-5577N	YPT6_YEAST	GTP-binding protein YPT6	YPT6 YLR262C L8479.11	215	L8479.11	YLR262C	---	YPT6	NP_013363.1;	YLR262C;	850966;	YLR262c;	S000004252;	10065_at;10066_s_at
Q06139	DIP-5578N	YL346_YEAST	Uncharacterized protein YLR346C, mitochondrial	YLR346C	101	---	YLR346C	---	---	NP_013450.1;	YLR346C;	851060;	YLR346c;	S000004338;	9970_at
Q06144	DIP-5579N	ORM2_YEAST	Protein ORM2	ORM2 YLR350W	216	---	YLR350W	---	ORM2	NP_013454.1;	YLR350W;	851064;	YLR350w;	S000004342;	9974_at
P38770	DIP-5580N	BRL1_YEAST	Nucleus export protein BRL1 (BRR6-like protein 1)	BRL1 YHR036W	471	---	YHR036W	---	BRL1	NP_011901.1;	YHR036W;	856431;	YHR036w;	S000001078;	4510_at
P38297	DIP-5581N	FZO1_YEAST	Mitofusin FZO1 (EC 3.6.5.-) (Transmembrane GTPase FZO1)	FZO1 YBR179C YBR1241	855	YBR1241	YBR179C	---	FZO1	NP_009738.1;	YBR179C;	852477;	YBR179c;	S000000383;	7181_at
Q06236	DIP-5582N	SHH4_YEAST	Mitochondrial inner membrane protein SHH4 (SDH4 homolog)	SHH4 YLR164W	168	---	YLR164W	---	SHH4	NP_013265.1;	YLR164W;	850861;	YLR164w;	S000004154;	10189_at
Q06704	DIP-5583N	IMH1_YEAST	Golgin IMH1 (Integrins and myosins homology protein 1)	IMH1 SYS3 YLR309C	911	---	YLR309C	SYS3	IMH1	NP_013412.1;	YLR309C;	851018;	YLR309c;	S000004300;	10024_at
P05743	DIP-5584N	RL26A_YEAST	60S ribosomal protein L26-A (L33) (YL33)	RPL26A RPL26 RPL33A YLR344W L8300.4	127	L8300.4	YLR344W	RPL26 RPL33A	RPL26A	NP_013448.1;	YLR344W;	851058;	---	S000004336;	9968_s_at
Q08994	DIP-5585N	YP203_YEAST	Putative uncharacterized protein YPR203W	YPR203W	102	---	YPR203W	---	---	NP_015529.1;	YPR203W;	856333;	---	S000006407;	2178_at;3791_s_at
P38773	DIP-5586N	DOG2_YEAST	2-deoxyglucose-6-phosphate phosphatase 2 (2-DOG-6-P 2) (2-deoxyglucose-6-phosphatase 2) (EC 3.1.3.68)	DOG2 YHR043C	246	---	YHR043C	---	DOG2	NP_011909.1;	YHR043C;	856439;	YHR043c;	S000001085;	4472_s_at
P38775	DIP-5587N	YHK5_YEAST	Putative uncharacterized protein YHR045W	YHR045W	560	---	YHR045W	---	---	NP_011911.1;	YHR045W;	856441;	YHR045w;	S000001087;	4474_at
P36165	DIP-5588N	TGL4_YEAST	Lipase 4 (EC 3.1.1.3) (Triacylglycerol lipase 4)	TGL4 STC1 YKR089C YKR409	910	YKR409	YKR089C	STC1	TGL4	NP_013015.1;	YKR089C;	853964;	YKR089c;	S000001797;	10468_at
P43537	DIP-5589N	YFG7_YEAST	Uncharacterized membrane protein YFL067W	YFL067W	175	---	YFL067W	---	---	NP_116588.1;	YFL067W;	850477;	YFL067w;	S000001827;	5421_i_at;5422_s_at
P38786	DIP-5590N	RPP1_YEAST	Ribonuclease P/MRP protein subunit RPP1 (EC 3.1.26.5) (RNA-processing protein RPP1) (RNaseP/MRP 32.2 kDa subunit)	RPP1 YHR062C	293	---	YHR062C	---	RPP1	NP_011929.1;	YHR062C;	856459;	YHR062c;	S000001104;	4490_at
P38787	DIP-5591N	PANE_YEAST	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	PAN5 YHR063C	379	---	YHR063C	---	PAN5	NP_011930.1;	YHR063C;	856460;	YHR063c;	S000001105;	4491_at
P32465	DIP-5593N	HXT1_YEAST	Low-affinity glucose transporter HXT1	HXT1 HOR4 YHR094C	570	---	YHR094C	HOR4	HXT1	NP_011962.1;	YHR094C;	856494;	YHR094c;	S000001136;	4430_at
P38695	DIP-5594N	HXT5_YEAST	Probable glucose transporter HXT5	HXT5 YHR096C	592	---	YHR096C	---	HXT5	NP_011964.1;	YHR096C;	856496;	YHR096c;	S000001138;	4432_at
Q7LIF2	DIP-5595N	YL365_YEAST	Putative uncharacterized protein YLR365W	YLR365W L8039.8	110	L8039.8	YLR365W	---	---	---	YLR365W;	---	YLR365w;	S000004357;	9944_at
Q07657	DIP-5596N	SHS1_YEAST	Seventh homolog of septin 1 (Septation protein 7)	SHS1 SEP7 YDL225W	551	---	YDL225W	SEP7	SHS1	NP_010056.1;	YDL225W;	851373;	YDL225w;	S000002384;	6727_at
P38818	DIP-5597N	CTM1_YEAST	Cytochrome c lysine N-methyltransferase 1 (EC 2.1.1.59)	CTM1 YHR109W	585	---	YHR109W	---	CTM1	NP_011977.1;	YHR109W;	856509;	YHR109w;	S000001151;	4402_at
P25625	DIP-5598N	PER1_YEAST	Protein PER1 (Protein processing in the ER protein 1)	PER1 COS16 YCR044C YCR44C	357	YCR44C	YCR044C	COS16	PER1	NP_009973.1;	YCR044C;	850411;	YCR044c;	S000000640;	6832_at
Q99190	DIP-5599N	TECR_YEAST	Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Enoyl reductase TSC13) (Temperature-sensitive CSG2 suppressor protein 13) (Trans-2-enoyl-CoA reductase)	TSC13 YDL015C D2865	310	D2865	YDL015C	---	TSC13	NP_010269.1;	YDL015C;	851547;	YDL015c;	S000002173;	6492_at
Q12140	DIP-5600N	BSC1_YEAST	Bypass of stop codon protein 1	BSC1 YDL037C D2734	328	D2734	YDL037C	---	BSC1	NP_010247.1;	YDL037C;	851524;	YDL037c;	S000002195;	6515_at
P22140	DIP-5619N	EPT1_YEAST	Choline/ethanolaminephosphotransferase 1 (ETHPT) (Ethanolaminephosphotransferase 1) (EC 2.7.8.1) (EC 2.7.8.2) (Aminoalcohol phosphotransferase EPT1)	EPT1 YHR123W	391	---	YHR123W	---	EPT1	NP_011991.1;	YHR123W;	856523;	YHR123w;	S000001165;	4416_at;4417_at
P32351	DIP-5664N	IMPX_YEAST	Sugar utilization regulatory protein IMP2	IMP2' IMP2 YIL154C	346	---	YIL154C	IMP2	IMP2'	NP_012112.3;	YIL154C;	854652;	YIL154c;	S000001416;	4247_at
Q12243	DIP-5760N	YOR29_YEAST	Putative uncharacterized protein YOR029W	YOR029W O2663 OR26.19 YOL303.13	111	O2663 OR26.19 YOL303.13	YOR029W	---	---	---	YOR029W;	---	YOR029w;	S000005555;	8502_at
P40361	DIP-5674N	YJH0_YEAST	Inactive deaminase YJL070C	YJL070C HRD888 J1095	888	HRD888 J1095	YJL070C	---	---	NP_012465.3;	YJL070C;	853375;	YJL070c;	S000003606;	11087_at
Q03788	DIP-5676N	YD250_YEAST	Putative uncharacterized protein YDR250C	YDR250C	91	---	YDR250C	---	---	---	YDR250C;	---	YDR250c;	S000002658;	6215_at
P38318	DIP-5702N	YB70_YEAST	Uncharacterized membrane protein YBR220C	YBR220C YBR1510	560	YBR1510	YBR220C	---	---	NP_009779.3;	YBR220C;	852521;	YBR220c;	S000000424;	7129_at;7130_g_at
P18962	DIP-5759N	DAP2_YEAST	Dipeptidyl aminopeptidase B (DPAP B) (EC 3.4.14.-) (YSCV)	DAP2 YHR028C	818	---	YHR028C	---	DAP2	NP_011893.1;	YHR028C;	856423;	YHR028c;	S000001070;	4502_at
P43605	DIP-5602N	ECO1_YEAST	N-acetyltransferase ECO1 (EC 2.3.1.-) (Chromosome transmission fidelity protein 7) (Establishment of cohesion protein 1)	ECO1 CTF7 YFR027W	281	---	YFR027W	CTF7	ECO1	NP_116683.1;	YFR027W;	850584;	YFR027w;	S000001923;	5324_at
P53193	DIP-5603N	JAC1_YEAST	J-type co-chaperone JAC1, mitochondrial (J-type accessory chaperone 1)	JAC1 SEO2 YGL018C	184	---	YGL018C	SEO2	JAC1	NP_011497.1;	YGL018C;	852866;	YGL018c;	S000002986;	5044_at
P53219	DIP-5604N	IMO32_YEAST	Abhydrolase domain-containing protein IMO32 (EC 3.-.-.-) (Intermediate cleaved by mitochondrial octapeptidyl aminopeptidase protein 32)	IMO32 YGR031W	342	---	YGR031W	---	IMO32	NP_011545.1;	YGR031W;	852919;	YGR031w;	S000003263;	4958_at
P53264	DIP-5605N	CLD1_YEAST	Cardiolipin-specific deacylase 1, mitochondrial (EC 3.5.1.-)	CLD1 YGR110W G6140	445	G6140	YGR110W	---	CLD1	NP_011625.3;	YGR110W;	853007;	YGR110w;	S000003342;	4900_at
P07266	DIP-5607N	MRS1_YEAST	Mitochondrial RNA-splicing protein MRS1	MRS1 PET157 YIR021W	363	---	YIR021W	PET157	MRS1	NP_012287.3;	YIR021W;	854839;	YIR021w;	S000001460;	4057_at
P47075	DIP-5608N	VTC4_YEAST	Vacuolar transporter chaperone 4 (Phosphate metabolism protein 3)	VTC4 PHM3 YJL012C J1345	721	J1345	YJL012C	PHM3	VTC4	NP_012522.2;	YJL012C;	853441;	YJL012c;	S000003549;	11056_at
P39005	DIP-5609N	KRE9_YEAST	Cell wall synthesis protein KRE9	KRE9 YJL174W J0504	276	J0504	YJL174W	---	KRE9	NP_012361.1;	YJL174W;	853265;	YJL174w;	S000003710;	11209_at
P34240	DIP-5610N	ZRT3_YEAST	Zinc-regulated transporter 3 (Vacuolar membrane zinc transporter)	ZRT3 YKL175W YKL640	503	YKL640	YKL175W	---	ZRT3	NP_012746.1;	YKL175W;	853679;	YKL175w;	S000001658;	10744_at
P36127	DIP-5611N	YK12_YEAST	Putative uncharacterized protein YKR032W	YKR032W	104	---	YKR032W	---	---	---	YKR032W;	---	YKR032w;	S000001740;	10549_at
Q12130	DIP-5613N	YL112_YEAST	Putative uncharacterized protein YLR112W	YLR112W L2928 L9354.3	139	L2928 L9354.3	YLR112W	---	---	---	YLR112W;	---	YLR112w;	S000004102;	10231_at
P47977	DIP-5614N	CTH2_YEAST	mRNA decay factor CTH2 (Cysteine-three-histidine protein 2) (Protein TIS11 homolog) (Protein YTIS11) (TPA-induced sequence protein 11)	TIS11 CTH2 YLR136C L3143 L9606.12	285	L3143 L9606.12	YLR136C	CTH2	TIS11	NP_013237.1;	YLR136C;	850827;	YLR136c;	S000004126;	10210_at
Q03102	DIP-5615N	YMN1_YEAST	Uncharacterized membrane protein YML131W	YML131W YM4987.04	365	YM4987.04	YML131W	---	---	NP_013575.1;	YML131W;	854908;	YML131w;	S000004600;	9801_at
Q12442	DIP-5616N	IZH2_YEAST	ADIPOR-like receptor IZH2 (Phosphate metabolism protein 36)	IZH2 PHO36 YOL002C UND327	317	UND327	YOL002C	PHO36	IZH2	NP_014641.2;	YOL002C;	854160;	YOL002c;	S000005362;	8560_at
P40090	DIP-5627N	SCC4_YEAST	MAU2 chromatid cohesion factor homolog (Sister chromatid cohesion protein 4)	SCC4 YER147C	624	---	YER147C	---	SCC4	NP_011074.3;	YER147C;	856890;	YER147c;	S000000949;	5587_at
P38719	DIP-5628N	DBP8_YEAST	ATP-dependent RNA helicase DBP8 (EC 3.6.4.13) (DEAD box protein 8)	DBP8 YHR169W	431	---	YHR169W	---	DBP8	NP_012039.1;	YHR169W;	856574;	YHR169w;	S000001212;	4374_at
P40498	DIP-5629N	UTP25_YEAST	U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25)	UTP25 YIL091C	721	---	YIL091C	---	UTP25	NP_012175.1;	YIL091C;	854717;	YIL091c;	S000001353;	4175_at
P04819	DIP-5630N	DNLI1_YEAST	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	CDC9 YDL164C	755	---	YDL164C	---	CDC9	NP_010117.1;	YDL164C;	851391;	YDL164c;	S000002323;	6656_at
P36124	DIP-5632N	SET3_YEAST	SET domain-containing protein 3	SET3 YKR029C	751	---	YKR029C	---	SET3	NP_012954.3;	YKR029C;	853900;	YKR029c;	S000001737;	10546_at
P38698	DIP-5633N	PPX1_YEAST	Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)	PPX1 YHR201C	397	---	YHR201C	---	PPX1	NP_012071.1;	YHR201C;	856608;	YHR201c;	S000001244;	4315_at
Q12004	DIP-5634N	TFB4_YEAST	RNA polymerase II transcription factor B subunit 4 (General transcription and DNA repair factor IIH subunit TFB4) (TFIIH subunit TFB4) (RNA polymerase II transcription factor B 34 kDa subunit) (RNA polymerase II transcription factor B p34 subunit)	TFB4 YPR056W	338	---	YPR056W	---	TFB4	NP_015381.1;	YPR056W;	856169;	YPR056w;	S000006260;	7676_at
Q05015	DIP-5637N	FSH2_YEAST	Family of serine hydrolases 2 (EC 3.1.-.-)	FSH2 YMR222C YM9959.04C	223	YM9959.04C	YMR222C	---	FSH2	NP_013949.1;	YMR222C;	855262;	YMR222c;	S000004835;	9404_at
P40548	DIP-5636N	SNL1_YEAST	HSP70 co-chaperone SNL1 (Suppressor of NUP116-C lethal)	SNL1 YIL016W	159	---	YIL016W	---	SNL1	NP_012248.1;	YIL016W;	854796;	YIL016w;	S000001278;	4108_at
P40544	DIP-5638N	YKE4_YEAST	Zinc transporter YKE4	YKE4 YIL023C	346	---	YIL023C	---	YKE4	NP_012241.1;	YIL023C;	854789;	YIL023c;	S000001285;	4102_at
Q08816	DIP-5639N	YO352_YEAST	Uncharacterized protein YOR352W	YOR352W	343	---	YOR352W	---	---	NP_014997.1;	YOR352W;	854534;	YOR352w;	S000005879;	8196_at
P40541	DIP-5640N	SCC3_YEAST	Cohesin subunit SCC3 (Irregular cell behavior protein 1)	IRR1 SCC3 YIL026C	1150	---	YIL026C	SCC3	IRR1	NP_012238.1;	YIL026C;	854786;	YIL026c;	S000001288;	4145_at
P40308	DIP-5641N	TGL3_YEAST	Lipase 3 (EC 3.1.1.3) (Triacylglycerol lipase 3)	TGL3 YMR313C YM9924.05C	642	YM9924.05C	YMR313C	---	TGL3	NP_014044.1;	YMR313C;	855361;	YMR313c;	S000004930;	9321_at
P31377	DIP-5642N	STX8_YEAST	Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)	SYN8 UIP2 YAL014C FUN34	255	FUN34	YAL014C	UIP2	SYN8	NP_009388.2;	YAL014C;	851219;	YAL014c;	S000000012;	11353_at
P38256	DIP-5643N	YBU6_YEAST	Uncharacterized protein YBR096W	YBR096W YBR0824	230	YBR0824	YBR096W	---	---	NP_009654.3;	YBR096W;	852393;	YBR096w;	S000000300;	7277_at
P32844	DIP-5649N	SEC6_YEAST	Exocyst complex component SEC6	SEC6 YIL068C	805	---	YIL068C	---	SEC6	NP_012196.1;	YIL068C;	854742;	YIL068c;	S000001330;	4150_at
P38350	DIP-5644N	YB9U_YEAST	Putative uncharacterized protein YBR277C	YBR277C YBR2014	133	YBR2014	YBR277C	---	---	---	YBR277C;	---	---	S000000481;	7095_at
P38152	DIP-5645N	TXTP_YEAST	Tricarboxylate transport protein (Citrate transport protein) (CTP)	CTP1 YBR291C YBR2039	299	YBR2039	YBR291C	---	CTP1	NP_009850.1;	YBR291C;	852594;	YBR291c;	S000000495;	7064_at
P25373	DIP-5646N	GLRX1_YEAST	Glutaredoxin-1 (Glutathione-dependent oxidoreductase 1)	GRX1 YCL035C YCL35C	110	YCL35C	YCL035C	---	GRX1	NP_009895.1;	YCL035C;	850322;	YCL035c;	S000000540;	6897_at
P40516	DIP-5648N	EFM4_YEAST	Protein-lysine N-methyltransferase EFM4 (EC 2.1.1.-) (Elongation factor methyltransferase 4) (Secretion and early endocytosis protein 1)	EFM4 SEE1 YIL064W	257	---	YIL064W	SEE1	EFM4	NP_012200.1;	YIL064W;	854746;	YIL064w;	S000001326;	4153_at
P40497	DIP-5650N	YIJ2_YEAST	Uncharacterized protein YIL092W	YIL092W	633	---	YIL092W	---	---	NP_012174.3;	YIL092W;	854716;	YIL092w;	S000001354;	4174_at
P38795	DIP-5592N	NADE_YEAST	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	QNS1 YHR074W	714	---	YHR074W	---	QNS1	NP_011941.1;	YHR074W;	856473;	YHR074w;	S000001116;	4455_at
P40350	DIP-5651N	ALG5_YEAST	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5)	ALG5 YPL227C P1437	334	P1437	YPL227C	---	ALG5	NP_015097.1;	YPL227C;	855874;	YPL227c;	S000006148;	7977_at
P40487	DIP-5653N	DPH1_YEAST	Diphthamide biosynthesis protein 1	DPH1 YIL103W	425	---	YIL103W	---	DPH1	NP_012163.1;	YIL103W;	854703;	YIL103w;	S000001365;	4207_at
P32461	DIP-5654N	DPH2_YEAST	Diphthamide biosynthesis protein 2 (Diphtheria toxin resistance protein 2)	DPH2 YKL191W	534	---	YKL191W	---	DPH2	NP_012730.1;	YKL191W;	853643;	YKL191w;	S000001674;	10771_at
P40483	DIP-5657N	YIK8_YEAST	Putative zinc metalloproteinase YIL108W (EC 3.4.24.-)	YIL108W	696	---	YIL108W	---	---	NP_012158.1;	YIL108W;	854698;	YIL108w;	S000001370;	4203_at
Q12398	DIP-5658N	HMS1_YEAST	Probable transcription factor HMS1 (High-copy MEP suppressor protein 1)	HMS1 YOR032C OR26.22	434	OR26.22	YOR032C	---	HMS1	NP_014675.1;	YOR032C;	854197;	YOR032c;	S000005558;	8505_at
P38907	DIP-5659N	CHL4_YEAST	Central kinetochore subunit CHL4 (Chromosome loss protein 4) (Chromosome transmission fidelity protein 17) (Minichromosome maintenance protein 17)	CHL4 CTF17 MCM17 YDR254W YD9320A.04	458	YD9320A.04	YDR254W	CTF17 MCM17	CHL4	NP_010540.3;	YDR254W;	851841;	YDR254w;	S000002662;	6219_at
P22148	DIP-5660N	MSN1_YEAST	Protein MSN1 (Multicopy suppressor of SNF1 protein 1)	MSN1 FUP1 PHD2 YOL116W HRB382	382	HRB382	YOL116W	FUP1 PHD2	MSN1	NP_014525.1;	YOL116W;	854033;	YOL116w;	S000005476;	8672_at
P40474	DIP-5661N	QDR2_YEAST	Quinidine resistance protein 2	QDR2 YIL121W	542	---	YIL121W	---	QDR2	NP_012145.1;	YIL121W;	854685;	YIL121w;	S000001383;	4235_at
